Date,Label,combined_headlines
2000-08-30,0,the best duel scene leader foreign control of stock exchange would not be fatal golden handcuffs for london bankers after credit suisse deal euro climbs off floor proms part mixed parts excel merger could cut trading costs by  say exchanges berlin philharmonic haitink prom  jazz deferential legend theatre jean toussaint berlin philharmonic haitink prom  england stars  and understudies  on course for a big payday the tough gets back on track oleary urges fans to stay away west indies left in disarray bitter croft lashes out at selectors rangers in rush to sign hartson twometre terminators final act round up irish duo are sent home fingers crossed for a flat track big brother website is a blockbuster johnston press profits rise steep learning curves the smithersrobinson index interpretation and methodology
2000-08-31,0,titus hospital case lse hits back at jingoism review  back to methuselah review  sheila nicholls review zehetmair quartet rate rise fails to lift euro cyber cinema spetember  scoreboard salisbury upstages wayward yorkshire middlesex give gatting the bullet irani follows the rule of law cotterell tickles the fancy a shillings worth of illingworth west ham in dock for harassing referee chelsea accused ahead of transfer summit captain adams plays it by the book england ready to make history tonline back on acquisition trail bbc top brass  then and now test cricket returns to normality on a bad day for the captains murdered sarah laid to rest britain furious at channel blockade hume steps back from front line an analysis of the performance profiles for initial teacher training
2000-09-01,1,only two fresh start schools improved their gcse results twin schools top private league table education desperate councils recruit teachers from abroad guardian review the bible in history by thomas l thompson oxford affairs interview jeanette winterson shapcotts variation small press corner the josephine baker story fiction  sep interview john burningham audio terry wogan library nonfiction nonfiction  sep the edible booker judge guardian review look to windward by iain m banks guardian review it cant go on by joseph connolly all points north big in crime  sep guardian review thepowerbook by jeanette winterson gurdian review qi and how to build a mind guardian review jrr tolkien by tom shippey the laureate of st lucia obituary rabbi shlomo halberstam tory protests as blair aide takes civil service post teacher cleared of assault
2000-09-05,1,united go top via fortune double suker outshines exotic imports rebrov leads the comeback macclesfield hit back to bury bolton in cup shock leicester forced to play in belgrade cheers boss pop review goldfrapp west pumps up pressure over oil prices prices slowdown fails to dent housebuilder profits pensions row stalls tories policy launch g working lives finance ministers struggle to find words of support for euro an employment tribunal lawyer writes theatre review in flame clickmango rescue effort fails threat to bn aol deal proms review  rotterdam philharmonic gergiev bddptbwas tag heuer win media press cuttings emap forms wanadoo joint venture about mediaguardiancouk is scotland capable of looking after itself paratroopers fly out to west africa as contingency dome to receive up to am extra how to complain over problems with postgrad courses
2000-09-06,1,cricket scoreboard roundup somerset slump hands treble to gloucestershire granada set to take stake in arsenal silvinho strike stuns chelsea shearers th goal puts magpies on top robson fumes after derbys latest escape owen hattrick hits voller and villa johansson limits hoddle to what he came for collymore the leicester catalyst music review sensible simplicity life in the dinosaur a windfalls as scottish provident deal goes ahead no change for interest rate lower prices likely to keep interest rate steady pop review dance review popcom offline before it starts perfect for an ironic era chelsea    arsenal doors open minds closed misgivings on free schools the best producer scene charles saatchi
2000-09-07,1,how simon packs departure is causing shockwaves warwickshire nottinghamshire yorkshire surrey middlesex sussex leicestershire northamptonshire somerset lancashire durham kent essex derbyshire take two music review chris tt proms dallas orchestra andrew litton royal albert hall centrica to take on banks scottish provident falls to abbey merrill lynch dismisses hostile internal report on ix merger bank keeps rates on hold as embattled euro sinks further smile to move into mortgages and shopping keegans men go down in the world blair leads fight to keep transfer fees
2000-09-08,0,one third of those arrested in scotland used heroin straws brother guilty of sex assault sisters detained for killing pensioner ioc damned for drugs failure frenchstyle fuel protest hits britain britons hurt as coach overturns on us tour hole in antarctic ozone now three times size of us sierra leone peace force accused of sabotage what the european papers say about the price of oil interview a mercenary for democracy at this price  ici market forces back to square one spirits raised home truths  the governments plans for leasehold reform home truths end snub to austria say three wise men a name that slips off the tongue jobs sandra deeble conducts a tour to becoming a holiday guide ba seeks pact with northwest fat controller boosts health club muscle loss of rank leisure group may scrap famous name wetherspoon considers second pub brand notebook ranks film fadeout may be too rapid lost boys court threat to axa over payout that shortchanges policyholders
2000-09-11,0,sparta prague    arsenal scorn for euro ministers pop review  neko case and her boyfriends ge bids for scottish life deutsche bank blamed as shares hit by rogue trade what a song and dance purity and smut elderly in savings trap to get cash boost four face insider dealing charges hard core tunesmith real grant mcmanaman conditional reprieve gazza finds life after dearth glamorgan fall despite maynard stand scoreboard safety first keeps leicester secure on home front scholes puts united in good heart wolves under a black cloud city owe it all to styles not substance bargains underpin oneill record run bad break puts pressure on ellis surrey count down to glory hamann the man in team of two halves derby cede comeback crown cole fires another rescue mission but arsenal lack ruthlessness card chaos but fulham hold the aces
2000-09-12,0,vialli victim of chelsea player power champions league arsenal bonus as silvinho goes solo nasdaq is no white knight byers gets tough on po bank sterling follows euros record breaking fall lets save the race card for real racism southern fried boogie inflation means a a pension rise tasteful whispers an ache at heart four ways to avoid footballs transfer meltdown defiant ellis wins vote and digs in his heels match report tottenham    west ham champions league rangers preview chelsea sack vialli wholl be the luca man to follow be vialli five steps to the sack viallis factfile unionist assembly member is arrested honesty hurts more money  less petrol and  bigger cup media monkey business the game in spain blair v brown stand by for fireworks in the second term health
2000-09-13,1,scoreboard kapil bows out with a blast cricket roundup cricket unstoppable surrey secure place in history still to play for cricket glorsters hit rich seam cricket essex lose their way in wagh zone uefa cup  review pop review classical year unemployment low bogus caller demands show me the money review theatre jobs threat as chase devours jp morgan review theatre review opera ms in bid fever as debenhams chief quits business fear of dotcoms swept away underfire kapil quits hollioake hails his heroes platt in danger of the sack at forest elegant romantic and not good enough  just like chelsea leicester relief as belgrade trip is called off nationwide league wolves    sheff utd nationwide league fulham    burnley
