Date,gold_Open,gold_High,gold_Low,gold_Close,gold_Adj Close,gold_Volume,Probability_Positive
2008-01-02,848.7000122,857.7999878,846.4000244,857,857,130,51.78943
2008-01-03,863,865.5,856.2999878,866.4000244,866.4000244,181,51.78942
2008-01-04,861.4000244,865.5,860.2000122,863.0999756,863.0999756,28,51.789457000000006
2008-01-07,860.9000244,860.9000244,857.4000244,859.5999756,859.5999756,4,51.78946
2008-01-08,861.5999756,879.4000244,861.5999756,878,878,21,51.78945
2008-01-09,885,885,876,879.5,879.5,48,51.789474
2008-01-10,882,891.4000244,881.2000122,891.7000122,891.7000122,6,51.78946
2008-01-11,889.7999878,899.7000122,889.7000122,896.0999756,896.0999756,183,51.78944
2008-01-14,907.2999878,907.2999878,905,901.5999756,901.5999756,89,51.789474
2008-01-15,887.5999756,887.5999756,887.5999756,901,901,101,51.78945
2008-01-16,880.5,885.7999878,880.5,880.5999756,880.5999756,102,51.78943
2008-01-17,888.2000122,888.2000122,876.7999878,879.5,879.5,11,51.789457000000006
2008-01-18,871.7999878,886.7999878,871,880.7999878,880.7999878,30,51.78947
2008-01-22,878.7000122,891,863.2000122,889.5999756,889.5999756,30,51.78946
2008-01-23,885,895.7000122,880,882.5,882.5,49,51.789474
2008-01-24,890.9000244,906.5999756,890.9000244,905.5,905.5,6,51.789427
2008-01-25,910.5,910.5,910.5,910.5,910.5,6,51.78948
2008-01-28,916.5999756,922,914.5,927.0999756,927.0999756,25,51.789474
2008-01-29,925,925,925,925.0999756,925.0999756,157692,51.789457000000006
2008-01-30,924.4000244,936.2999878,915.2999878,920.5999756,920.5999756,68820,51.78944
2008-01-31,928.2000122,928.5999756,918.2999878,922.7000122,922.7000122,4289,51.78945
2008-02-01,924.7999878,936.2000122,903.7000122,908.7000122,908.7000122,2152,51.789457000000006
2008-02-04,903.7000122,912,892.5,904.9000244,904.9000244,1493,51.78946
2008-02-05,905.0999756,905.2000122,884.7000122,885.9000244,885.9000244,476,51.789474
2008-02-06,887.9000244,910,887.5,900.7000122,900.7000122,430,51.78944
2008-02-07,900.5999756,909.2999878,896.4000244,906.0999756,906.0999756,463,51.78945
2008-02-08,915.2999878,920,911.5,918.4000244,918.4000244,339,51.78943
2008-02-11,920.7000122,926.9000244,917.5,922.9000244,922.9000244,181,51.789474
2008-02-12,921,924.7999878,904.2000122,907.4000244,907.4000244,278,51.78946
2008-02-13,903,909.4000244,897.2000122,906.5,906.5,89,51.789445
2008-02-14,904,911,904,907.4000244,907.4000244,128,51.789457000000006
2008-02-15,910.0999756,913.5999756,898.7000122,902.7999878,902.7999878,128,51.78946
2008-02-19,904.2999878,928.7999878,900.5,926.5999756,926.5999756,174,51.789474
2008-02-20,926.5,945,919.5999756,934.5999756,934.5999756,73,51.78945
2008-02-21,940.0999756,953.4000244,940.0999756,946.0999756,946.0999756,138,51.78944
2008-02-22,944.9000244,948.5,942.5,944.7000122,944.7000122,79,51.78945
2008-02-25,946.5,948.9000244,933,937.5999756,937.5999756,312,51.789445
2008-02-26,931.2999878,949,931.2999878,946.0999756,946.0999756,224,51.78945
2008-02-27,960,960,955,958.2000122,958.2000122,215,51.789474
2008-02-28,957.4000244,972.0999756,954.4000244,964.5,964.5,238,51.78945
2008-02-29,971.4000244,973.0999756,963.5,972.0999756,972.0999756,39,51.78944
2008-03-03,984.2000122,986.9000244,979.7000122,981.5,981.5,26,51.789445
2008-03-04,982.4000244,984.5,963.7999878,963.9000244,963.9000244,41,51.78943
2008-03-05,965,992.7000122,963.9000244,986.2000122,986.2000122,45,51.78944
2008-03-06,984.2999878,987.7000122,973.4000244,975,975,46,51.789445
2008-03-07,982.7999878,984.9000244,972.4000244,972.2000122,972.2000122,96,51.789474
2008-03-10,975.5,976.7999878,964.7000122,969.9000244,969.9000244,92,51.78945
2008-03-11,975.7000122,976.7000122,971.5,974.2000122,974.2000122,12,51.78946
2008-03-12,973.5999756,979.2999878,973.5,978.7999878,978.7999878,6,51.789474
2008-03-13,983.7000122,998.5,983.7000122,992.2999878,992.2999878,10,51.789474
2008-03-14,993.9000244,1004.599976,993,998.2000122,998.2000122,27,51.78944
2008-03-17,1005,1014.599976,996.4000244,1001.400024,1001.400024,82,51.78949000000001
2008-03-18,1003.599976,1010,978.2000122,1003.200012,1003.200012,30,51.78944
2008-03-19,979.2999878,979.2999878,938.4000244,944.7000122,944.7000122,84,51.78946
2008-03-20,939.9000244,943.2000122,917.7000122,919.5999756,919.5999756,34,51.789457000000006
2008-03-24,915.5,922,915.2000122,918.2999878,918.2999878,71,51.78943
2008-03-25,931.5,933.9000244,927.2000122,934.5999756,934.5999756,102,51.789474
2008-03-26,949.5999756,949.5999756,949.5999756,949,949,1,51.789445
2008-03-27,947.4000244,951.7000122,945.7000122,948.7999878,948.7999878,145634,51.789445
2008-03-28,947.5,951.0999756,921.7999878,930.5999756,930.5999756,64013,51.78945
2008-03-31,931,940.0999756,912,916.2000122,916.2000122,5980,51.78943
2008-04-01,915,919.7999878,871.7999878,882.9000244,882.9000244,3204,51.789445
2008-04-02,884,906.5,881.2000122,895.2000122,895.2000122,2367,51.789457000000006
2008-04-03,901.2000122,907.5,889.5999756,905,905,984,51.78943
2008-04-04,904.7000122,914.9000244,898.7999878,909,909,279,51.78943
2008-04-07,915.2999878,927.2000122,912.2999878,922.7000122,922.7000122,2086,51.78945
2008-04-08,924.2000122,925.2999878,909.2999878,914,914,405,51.789486
2008-04-09,916,935.5,904.0999756,933.5999756,933.5999756,390,51.78948
2008-04-10,931.2999878,939.2000122,922.4000244,928.2999878,928.2999878,409,51.78944
2008-04-11,919.5999756,931.2000122,919.5999756,923.5999756,923.5999756,141,51.78945
